".model","RMSE","MAE","MAPE","MASE","RMSSE"
"ARIMA_man",28551.6663876514,23622.1635665507,4.60582023243917,0.829828966613835,0.792771872702961
"ETS_MAM",33681.2248247796,27948.9770176524,5.50051242891072,0.981826692171152,0.935200324798499
"STL_ETS",36035.2377063628,29659.7526380068,5.76614186700191,1.04192496221942,1.00056236619958
"ARIMA_auto",42672.288554344,35324.3071886762,6.78242981841384,1.24091653366742,1.18484818540678
"ETS_auto",43368.8403389185,34003.1274779292,6.52385113041639,1.19450447699904,1.20418879604555
